peak_name,unique_peak,test_performed,p_value,p<0.05,posthoc_p_values,groups
average_size,False,Kruskal Wallis,0.6,False,,"{'12': [973.946437910421, 530.6846068794599], '15': [1385.5226067211875, 271.62399889159303, 546.6197655633586], '35': [1104.2029576944217], '60': [845.3514939297479], '47': [1296.1043356600933], '77': [1171.9294668923649, 1001.2275037234929], '11': [1029.1364537143859], '80': [1232.4796233291413], '2': [1331.2928643355178, 432.7414747575407], '33': [1343.1577215587638], '37': [1003.4547885501203], '1': [982.9895332064737, 500.3351271872906], '30': [826.5379836238798], '44': [1291.3828135356284], '23': [350.37438864904067], '27': [447.2806379163936], '34': [331.08189960368037], '78': [217.41614389837846], '92': [266.6469841180417], '94': [413.59970732182217], '3': [477.151983532518]}"
0.0,False,Kruskal Wallis,0.6,False,,"{'12': [152.0408163265306, 155.10204081632654], '15': [161.22448979591837, 167.34693877551018], '35': [164.28571428571428], '60': [161.22448979591837], '47': [167.34693877551018], '77': [136.73469387755102, 219.3877551020408], '11': [185.7142857142857], '80': [161.22448979591837], '2': [158.16326530612244], '33': [201.0204081632653], '37': [188.77551020408163], '30': [158.16326530612244], '44': [161.22448979591837], '23': [133.6734693877551], '27': [176.53061224489795], '34': [148.9795918367347], '78': [142.85714285714286], '92': [155.10204081632654], '94': [167.34693877551018], '1': [164.28571428571428], '3': [155.10204081632654]}"
1.0,False,Kruskal Wallis,0.5,False,,"{'12': [344.1860465116279, 333.72093023255815], '15': [361.62790697674416, 330.2325581395349], '35': [361.62790697674416], '60': [372.09302325581393], '47': [375.5813953488372], '77': [330.2325581395349, 462.22222222222223], '11': [375.5813953488372], '80': [330.2325581395349], '2': [351.16279069767444], '33': [475.55555555555554], '37': [400.0], '30': [323.2558139534884], '44': [323.2558139534884], '27': [573.3333333333334], '1': [333.72093023255815], '3': [312.7906976744186]}"
2.0,False,Kruskal Wallis,0.4,False,,"{'12': [560.0], '15': [568.8888888888889], '35': [582.2222222222222], '60': [591.1111111111111], '47': [595.5555555555555], '77': [542.2222222222222, 568.8888888888889], '11': [586.6666666666667], '80': [533.3333333333334], '2': [551.1111111111111], '33': [1434.7826086956522], '37': [855.1724137931035], '30': [462.22222222222223], '44': [560.0], '27': [731.0344827586207], '1': [806.8965517241379]}"
3.0,False,Kruskal Wallis,0.6,False,,"{'12': [800.0], '15': [806.8965517241379], '35': [1163.0434782608695], '60': [868.9655172413793], '47': [855.1724137931035], '77': [779.3103448275862, 1141.304347826087], '11': [848.2758620689655], '80': [772.4137931034483], '2': [800.0], '37': [1076.086956521739], '30': [689.6551724137931], '44': [820.6896551724137]}"
4.0,False,Kruskal Wallis,0.4,False,,"{'12': [1054.3478260869565], '15': [1195.6521739130435], '60': [1086.9565217391305], '47': [1456.5217391304348], '77': [1000.0], '11': [986.2068965517242], '80': [1184.7826086956522], '2': [993.103448275862], '37': [1413.0434782608695], '30': [827.5862068965517], '44': [1010.8695652173913]}"
5.0,False,Kruskal Wallis,0.4,False,,"{'12': [1282.608695652174], '15': [1542.2535211267605], '77': [1369.5652173913045], '11': [1206.5217391304348], '2': [1380.4347826086955], '30': [986.2068965517242], '44': [1271.7391304347825]}"
max_peak,False,Kruskal Wallis,0.6,False,,"{'12': [1282.608695652174, 155.10204081632654], '15': [161.22448979591837, 167.34693877551018], '35': [1163.0434782608695], '60': [161.22448979591837], '47': [167.34693877551018], '77': [136.73469387755102, 1141.304347826087], '11': [986.2068965517242], '80': [1184.7826086956522], '2': [1380.4347826086955], '33': [1434.7826086956522], '37': [188.77551020408163], '30': [158.16326530612244], '44': [161.22448979591837], '23': [133.6734693877551], '27': [176.53061224489795], '34': [148.9795918367347], '78': [142.85714285714286], '92': [155.10204081632654], '94': [167.34693877551018], '1': [164.28571428571428], '3': [155.10204081632654]}"
6.0,False,Kruskal Wallis,0.4,False,,"{'15': [4250.0], '30': [1195.6521739130435], '44': [1542.2535211267605]}"
7.0,False,Kruskal Wallis,0.3,False,,"{'30': [1423.913043478261], '44': [2049.295774647888]}"
8.0,False,Kruskal Wallis,0.3,False,,"{'30': [1739.43661971831], '44': [2373.2394366197186]}"
9.0,True,None (peak unique to group),1.0,False,,{'44': [2750.0]}
10.0,True,None (peak unique to group),1.0,False,,{'44': [3384.6153846153848]}
11.0,True,None (peak unique to group),1.0,False,,{'44': [4550.0]}
