Ladder,Sample_1,Sample_2,Sample_3,Sample_4,…
2.989603,2.42713,0.7146179,6.35804,2.991041,…
3.360477,2.020639,0.6151214,6.315273,2.731391,…
3.430417,1.893378,0.4197658,5.906331,2.643009,…
3.303449,1.909102,0.239225,5.269081,2.614673,…
3.102744,1.923925,0.1669339,4.50062,2.445065,…
2.748271,2.036593,0.1851551,3.647917,2.159403,…
3.560105,2.393621,0.116698,3.304178,2.076624,…
3.546266,2.70818,0.02938752,3.756241,1.825265,…
2.772796,2.508052,0.1692096,4.833201,1.390767,…
2.061934,2.383395,0.4488774,5.237878,1.081664,…
…,…,...,…,...,…
0.9224262,0.4266619,0,0,1.080067,…
